text,intent,category,priority
Don't forget the tutorial session on data structures at 10:30 AM,Reminder,Study,Medium
Remind me to return the Literature library book by next week,Reminder,Study,Medium
Remind me to return the Biology library book by Friday,Reminder,Study,Medium
Remind me of the design project status meeting at 2:30 PM,Reminder,Work,Medium
Model name for smartwatch I want to buy: Version 1,Note,Shopping,Low
Remind me to check stock prices for AAPL at 5:00 PM,Reminder,Finance,Low
Savings plan: save $1200 by the end of May,Note,Finance,Medium
Study Physics for 50 hours today,Todo,Study,Medium
Read pages 3 to 1 of the Computer Science textbook,Todo,Study,Medium
Set a reminder for the auto-debit of Spotify on in 3 days,Reminder,Finance,Medium
Concept definition: industrial revolution is defined as total GDP output this Friday at 3pm,Note,Study,Low
Don't forget the group study session for Biology at 2:30 PM on in 3 days,Reminder,Study,Medium
Model name for keyboard I want to buy: Version 1,Note,Shopping,Low
Notes from today's lecture on quantum physics: highly important for final exam,Note,Study,Low
Subscription cost tracker: Gym Membership costs $10 per month,Note,Finance,Low
Read pages 1 to 10 of the Art History textbook,Todo,Study,Medium
Don't forget the tutorial session on data structures at 5:00 PM,Reminder,Study,Medium
Gift ideas for Alex: book about genetics or a warm scarf,Note,Shopping,Low
Set a reminder for performance review with Michael on next week,Reminder,Work,High
Memorable moments from the trip to New York,Note,Personal,Low
Notes from today's lecture on cryptography: discuss at the next standup meeting,Note,Study,Low
Remind me to return the Calculus library book by next Monday,Reminder,Study,Medium
Formula list for Calculus includes photosynthesis equations,Note,Study,Low
Instructions for deploying billing code by next week,Note,Work,Medium
Remind me to buy a birthday card for Isabella on tonight,Reminder,Shopping,Medium
Concept definition: quantum physics is defined as supply and demand curves,Note,Study,Low
ASAP: Summary of discussion with Olivia about photosynthesis,Note,Work,High
Study Math for 10 hours today,Todo,Study,Medium
"Shopping wishlist: headphones, mouse, and a new bag",Note,Shopping,Low
Concept definition: ancient civilization is defined as eigenvalues and eigenvectors,Note,Study,Low
Remind me to cancel the Zoom subscription before July 5th,Reminder,Finance,High
Read pages 4 to 20 of the Art History textbook,Todo,Study,Medium
Summarize the lecture notes on photosynthesis for Computer Science,Todo,Study,Medium
ASAP: Formula list for Chemistry includes data structures equations,Note,Study,High
"Shopping wishlist: external hard drive, charger, and a new bag",Note,Shopping,Low
Review vocabulary flashcards for Physics,Todo,Study,Low
Summarize the lecture notes on ancient civilization for History,Todo,Study,Medium
Remember to prepare for the History exam on this weekend,Reminder,Study,High
Schedule a quick alignment call with Jessica about data structures,Todo,Work,Medium
Remember to prepare for the History exam on next week,Reminder,Study,High
Summarize the lecture notes on quantum physics for Math this Friday at 3pm,Todo,Study,Medium
Notes from today's lecture on quantum physics: will double check the figures,Note,Study,Low
Remind me to ask Jessica for Chemistry study guides this Friday at 3pm,Reminder,Study,Low
Remind me to ask James for Calculus study guides,Reminder,Study,Low
Formula list for History includes organic synthesis equations tomorrow morning,Note,Study,Low
Don't forget the tutorial session on industrial revolution at 2:30 PM,Reminder,Study,Medium
Concept definition: macroeconomics is defined as energy transformation,Note,Study,Low
Meeting minutes from marketing sync: save for reference in future projects,Note,Work,Low
Remember to call Alex about the client contract on in 3 days,Reminder,Work,Medium
Summarize the lecture notes on organic synthesis for Economics,Todo,Study,Medium
Remind me to ask Emma for Art History study guides,Reminder,Study,Low
Gift ideas for Olivia: book about thermodynamics or a warm scarf,Note,Shopping,Low
Summary of discussion with Jessica about linear algebra,Note,Work,Low
Send a thank you note to Michael for the gift,Task,Personal,Low
Summarize the lecture notes on organic synthesis for Computer Science,Todo,Study,Medium
Project details: Falcon aims to rebuild the search engine service,Note,Work,Low
Model name for speaker I want to buy: Version 4,Note,Shopping,Low
Set a reminder for the design sync with Emma on at 9 PM,Reminder,Work,Medium
Gift ideas for Isabella: book about data structures or a warm scarf,Note,Shopping,Low
Meeting minutes from product sync: save for reference in future projects,Note,Work,Low
Expense breakdown: spent $1000 on groceries and $1200 on utilities,Note,Finance,Medium
Remind me to return the Physics library book by at 9 PM,Reminder,Study,Medium
Remind me to ask David for Chemistry study guides,Reminder,Study,Low
Set a reminder for performance review with Sophia on Friday,Reminder,Work,High
Gift ideas for Chris: book about modernism or a warm scarf,Note,Shopping,Low
Remind me to ask Isabella for Art History study guides,Reminder,Study,Low
Remember to prepare for the Art History exam on next Monday,Reminder,Study,High
Buy eggs and cereal from the local supermarket,Task,Shopping,Low
Brainstorm thesis statements for Literature tomorrow morning,Todo,Study,Medium
Medical insurance policy number: 5021 tomorrow morning,Note,Health,Medium
Don't forget the group study session for Physics at 10:30 AM on tonight,Reminder,Study,Medium
Savings plan: save $15 by the end of May,Note,Finance,Medium
Read pages 2 to 20 of the Calculus textbook,Todo,Study,Medium
Remind me to ask Alex for History study guides this Friday at 3pm,Reminder,Study,Low
Expense breakdown: spent $1200 on groceries and $50 on utilities,Note,Finance,Medium
Don't forget the group study session for Computer Science at 8:00 PM on June 30th,Reminder,Study,Medium
Remind me to return the Physics library book by next week,Reminder,Study,Medium
"Shopping wishlist: charger, mouse, and a new bag by next week",Note,Shopping,Low
ASAP: Summary of discussion with Jessica about modernism,Note,Work,High
Buy bread and milk from the local supermarket,Task,Shopping,Low
Remember to prepare for the Computer Science exam on tomorrow,Reminder,Study,High
Remember to prepare for the Chemistry exam on June 30th,Reminder,Study,High
Set a reminder for performance review with John on this weekend,Reminder,Work,High
Gift ideas for Jessica: book about linear algebra or a warm scarf,Note,Shopping,Low
Remember to call Isabella about the client contract on tonight,Reminder,Work,Medium
Model name for phone I want to buy: Version 1 this Friday at 3pm,Note,Shopping,Low
Savings plan: save $500 by the end of February,Note,Finance,Medium
Key takeaways about photosynthesis from the textbook,Note,Study,Low
Useful study resource for Biology: http://wikipedia.org/wiki/Economics,Note,Study,Low
Remind me to buy a birthday card for James on next week,Reminder,Shopping,Medium
Remember to call Sarah about the client contract on tonight,Reminder,Work,Medium
Set a reminder to order refills of Vitamins by next Monday (low priority though),Reminder,Health,Low
Remind me to take my Allergy pills at 5:00 PM,Reminder,Health,High
Medical insurance policy number: 525 tomorrow morning,Note,Health,Medium
Remember to call Chris about the client contract on tonight,Reminder,Work,Medium
Remember to prepare for the Chemistry exam on this weekend,Reminder,Study,High
Medical insurance policy number: 20102,Note,Health,Medium
Savings plan: save $10 by the end of October,Note,Finance,Medium
Solve the practice problems in chapter 4 of Art History,Task,Study,Medium
Set a reminder for the design sync with Liam on July 5th,Reminder,Work,Medium
Research organic synthesis for the upcoming Chemistry project,Todo,Study,Medium
Summarize the lecture notes on industrial revolution for Art History,Todo,Study,Medium
Research photosynthesis for the upcoming Computer Science project next Monday at noon,Todo,Study,Medium
Solve the practice problems in chapter 20 of Computer Science by next week,Task,Study,Medium
Subscription cost tracker: Amazon Prime costs $50 per month by next week,Note,Finance,Low
Set a reminder to order refills of Ibuprofen by June 30th,Reminder,Health,High
Remind me to cancel the Adobe Creative Cloud subscription before in 3 days,Reminder,Finance,High
Gift ideas for David: book about photosynthesis or a warm scarf,Note,Shopping,Low
Medical insurance policy number: 12510 next Monday at noon,Note,Health,Medium
Remind me to submit the draft for Computer Science next week,Reminder,Study,High
Medical insurance policy number: 1501,Note,Health,Medium
Summarize the lecture notes on cell division for Math,Todo,Study,Medium
Set a reminder for the design sync with Alex on Friday,Reminder,Work,Medium
Set a reminder for the auto-debit of Zoom on July 5th,Reminder,Finance,Medium
Remind me to return the Math library book by at 9 PM,Reminder,Study,Medium
Read pages 10 to 12 of the History textbook,Todo,Study,Medium
Project details: Apollo aims to rebuild the auth service,Note,Work,Low
Don't forget the group study session for Calculus at 9:00 AM on tomorrow,Reminder,Study,Medium
Set a reminder for performance review with Michael on next Monday,Reminder,Work,High
Project details: Alpha aims to rebuild the database service next Monday at noon,Note,Work,Low
Don't forget the tutorial session on macroeconomics at 5:00 PM,Reminder,Study,Medium
Read pages 2 to 20 of the Biology textbook,Todo,Study,Medium
Don't forget the group study session for Physics at 4:15 PM on tonight,Reminder,Study,Medium
Remember to call Emma about the client contract on July 5th,Reminder,Work,Medium
Research linear algebra for the upcoming Computer Science project,Todo,Study,Medium
Professor mentioned that photosynthesis will be on the final exam,Note,Study,Medium
Remind me to sign up for the Math workshop by Friday,Reminder,Study,High
Summarize the lecture notes on cell division for Economics,Todo,Study,Medium
Research thermodynamics for the upcoming Calculus project this Friday at 3pm,Todo,Study,Medium
Remember to prepare for the Literature exam on July 5th,Reminder,Study,High
Set a reminder for the auto-debit of Amazon Prime on next week,Reminder,Finance,Medium
Set a reminder for the auto-debit of Slack on Friday,Reminder,Finance,Medium
Don't forget the therapy appointment with John at noon,Reminder,Health,High
Browse online deals for smartwatch accessories,Todo,Shopping,Low
Set a reminder to order refills of Ibuprofen by tomorrow,Reminder,Health,High
Schedule an appointment with Dr. Isabella for annual checkup,Task,Health,High
Revise the syllabus for Economics,Task,Study,Low
Model name for monitor I want to buy: Version 1,Note,Shopping,Low
Set a reminder for performance review with Emily on June 30th,Reminder,Work,High
Read pages 4 to 3 of the Physics textbook tomorrow morning,Todo,Study,Medium
Project details: Titan aims to rebuild the analytics service,Note,Work,Low
Call Emma to catch up on weekend plans,Task,Personal,Medium
Gift ideas for Alex: book about thermodynamics or a warm scarf,Note,Shopping,Low
Remind me to check stock prices for GOOGL at 9:00 AM,Reminder,Finance,Low
Set a reminder for performance review with Sarah on next Monday,Reminder,Work,High
Buy cheese and orange juice from the local supermarket tomorrow morning,Task,Shopping,Low
Formula list for Physics includes neural networks equations,Note,Study,Low
Schedule a quick alignment call with Emma about macroeconomics,Todo,Work,Medium
Set a reminder for performance review with Jessica on June 30th,Reminder,Work,High
Buy avocado and orange juice from the local supermarket,Task,Shopping,Low
Concept definition: quantum physics is defined as light absorption in plants,Note,Study,Low
Remind me to ask Michael for Computer Science study guides,Reminder,Study,Low
Schedule a quick alignment call with Sarah about genetics,Todo,Work,Medium
Read pages 50 to 20 of the Biology textbook next Monday at noon,Todo,Study,Medium
Remind me to check stock prices for AMZN at 9:00 AM next Monday at noon,Reminder,Finance,Low
Remind me to ask Chris for Physics study guides,Reminder,Study,Low
Remind me of the HR project status meeting at 10:30 AM,Reminder,Work,Medium
Don't forget the therapy appointment with Liam at 2:30 PM,Reminder,Health,High
Remind me of the product project status meeting at 10:30 AM,Reminder,Work,Medium
Set a reminder for the design sync with John on tomorrow,Reminder,Work,Medium
Savings plan: save $100 by the end of June,Note,Finance,Medium
Gift ideas for Jessica: book about organic synthesis or a warm scarf,Note,Shopping,Low
Remind me to buy a birthday card for Sarah on June 30th,Reminder,Shopping,Medium
Buy chicken and avocado from the local supermarket,Task,Shopping,Low
Model name for tablet I want to buy: Version 5,Note,Shopping,Low
Buy orange juice and cereal from the local supermarket,Task,Shopping,Low
Summarize the lecture notes on compiler design for Chemistry,Todo,Study,Medium
Read pages 10 to 1 of the Art History textbook,Todo,Study,Medium
Set a reminder for the auto-debit of Amazon Prime on next Monday,Reminder,Finance,Medium
Remind me to return the Computer Science library book by tomorrow,Reminder,Study,Medium
Remind me of the legal project status meeting at 10:30 AM,Reminder,Work,Medium
Remind me to buy a birthday card for Jessica on next week,Reminder,Shopping,Medium
Notes from today's lecture on cell division: highly important for final exam,Note,Study,Low
Remind me to buy a birthday card for David on July 5th,Reminder,Shopping,Medium
Remind me to take my Ibuprofen at 5:00 PM,Reminder,Health,High
Schedule a quick alignment call with Daniel about quantum physics,Todo,Work,Medium
Set a reminder for performance review with Sarah on tomorrow,Reminder,Work,High
Bucket list ideas: visit Rome and learn to play the flute,Note,Personal,Low
Submit expense report for Titan reimbursement,Task,Finance,High
Read pages 1 to 1 of the Computer Science textbook tonight at 8 PM,Todo,Study,Medium
Key takeaways about ancient civilization from the textbook,Note,Study,Low
Project details: Helix aims to rebuild the user profile service,Note,Work,Low
Remember to prepare for the Economics exam on tomorrow,Reminder,Study,High
Remind me to ask Emily for Chemistry study guides tomorrow morning,Reminder,Study,Low
Summarize the lecture notes on modernism for Math,Todo,Study,Medium
Summary of discussion with Sarah about photosynthesis,Note,Work,Low
Don't forget the therapy appointment with Isabella at noon,Reminder,Health,High
Savings plan: save $1200 by the end of August,Note,Finance,Medium
Research cell division for the upcoming Computer Science project,Todo,Study,Medium
Medical insurance policy number: 2550,Note,Health,Medium
Remind me to return the History library book by in 3 days,Reminder,Study,Medium
Remind me to check stock prices for META at 2:30 PM by next week,Reminder,Finance,Low
Notes from today's lecture on linear algebra: save for reference in future projects,Note,Study,Low
Schedule a quick alignment call with Emma about cryptography,Todo,Work,Medium
Create a list of birthday gift ideas for Chris,Todo,Personal,Low
Formula list for History includes quantum physics equations,Note,Study,Low
Medical insurance policy number: 1122,Note,Health,Medium
Remind me to ask Michael for Physics study guides,Reminder,Study,Low
Don't forget to RSVP to Chris's dinner invitation,Reminder,Personal,Medium
Notes from today's lecture on macroeconomics: inspired by a recent podcast,Note,Study,Low
Remind me to take my Metformin at 5:00 PM,Reminder,Health,High
Remember to call Emily about the client contract on next week,Reminder,Work,Medium
Subscription cost tracker: Zoom costs $1200 per month,Note,Finance,Low
Remind me to return the Biology library book by next Monday,Reminder,Study,Medium
Remind me to take my Lipitor at noon,Reminder,Health,High
"Shopping wishlist: headphones, phone, and a new bag this Friday at 3pm",Note,Shopping,Low
Remind me to buy a birthday card for Sophia on tonight,Reminder,Shopping,Medium
Read pages 2 to 3 of the Chemistry textbook,Todo,Study,Medium
Study Art History for 5 hours today,Todo,Study,Medium
Read pages 50 to 12 of the Calculus textbook,Todo,Study,Medium
Remind me to buy a birthday card for Emma on at 9 PM,Reminder,Shopping,Medium
Don't forget the tutorial session on linear algebra at 2:30 PM,Reminder,Study,Medium
Don't forget the therapy appointment with David at noon,Reminder,Health,High
Read pages 1 to 12 of the Literature textbook,Todo,Study,Medium
Notes from today's lecture on ancient civilization: discuss at the next standup meeting,Note,Study,Low
Don't forget the tutorial session on cell division at 5:00 PM,Reminder,Study,Medium
Don't forget the therapy appointment with David at 8:00 PM,Reminder,Health,High
Formula list for Economics includes neural networks equations this Friday at 3pm,Note,Study,Low
Buy milk and spinach from the local supermarket,Task,Shopping,Low
Remind me to check stock prices for NFLX at 4:15 PM,Reminder,Finance,Low
Summary of discussion with Emma about genetics,Note,Work,Low
Set a reminder to order refills of Lisinopril by next Monday,Reminder,Health,High
Watch the tutorial video on genetics,Todo,Study,Low
Set a reminder for the design sync with James on next Monday,Reminder,Work,Medium
Schedule a quick alignment call with Emily about thermodynamics,Todo,Work,Medium
Schedule a quick alignment call with Sophia about data structures,Todo,Work,Medium
Don't forget the therapy appointment with Emily at 9:00 AM,Reminder,Health,High
Savings plan: save $15 by the end of March tomorrow morning,Note,Finance,Medium
Remind me to return the Art History library book by next Monday,Reminder,Study,Medium
Remind me of the finance project status meeting at midnight,Reminder,Work,Medium
Don't forget the group study session for Art History at 8:00 PM on tonight,Reminder,Study,Medium
Buy tomatoes and bread from the local supermarket,Task,Shopping,Low
Plan the weekend road trip itinerary to Lake Tahoe,Task,Personal,Medium
Update the monthly budget spreadsheet for March,Task,Finance,Medium
Buy bananas and coffee from the local supermarket,Task,Shopping,Low
Medical insurance policy number: 455,Note,Health,Medium
Notes from today's lecture on photosynthesis: inspired by a recent podcast,Note,Study,Low
Bucket list ideas: visit Tokyo and learn to play the saxophone,Note,Personal,Low
Set a reminder for performance review with Sophia on at 9 PM,Reminder,Work,High
Set a reminder for the auto-debit of Spotify on next week,Reminder,Finance,Medium
Remind me to ask Michael for History study guides,Reminder,Study,Low
Gift ideas for John: book about organic synthesis or a warm scarf,Note,Shopping,Low
Savings plan: save $1000 by the end of June,Note,Finance,Medium
Gift ideas for Emily: book about macroeconomics or a warm scarf,Note,Shopping,Low
Remind me to buy a birthday card for David on in 3 days,Reminder,Shopping,Medium
Expense breakdown: spent $1000 on groceries and $1000 on utilities,Note,Finance,Medium
Study Economics for 1 hours today,Todo,Study,Medium
Solve the practice problems in chapter 4 of Biology,Task,Study,Medium
Solve the practice problems in chapter 12 of Computer Science,Task,Study,Medium
Model name for speaker I want to buy: Version 2,Note,Shopping,Low
Set a reminder to order refills of Vitamins by in 3 days,Reminder,Health,High
Don't forget the group study session for History at 9:00 AM on tomorrow,Reminder,Study,Medium
Solve the practice problems in chapter 4 of History,Task,Study,Medium
Schedule a quick alignment call with David about neural networks next Monday at noon,Todo,Work,Medium
Schedule a quick alignment call with Olivia about quantum physics,Todo,Work,Medium
Solve the practice problems in chapter 4 of Physics,Task,Study,Medium
Meeting minutes from marketing sync: will double check the figures,Note,Work,Low
Summary of discussion with Olivia about organic synthesis this Friday at 3pm,Note,Work,Low
Solve the practice problems in chapter 3 of Math,Task,Study,Medium
Summarize the lecture notes on data structures for Computer Science,Todo,Study,Medium
Study Computer Science for 10 hours today,Todo,Study,Medium
Medical insurance policy number: 15050,Note,Health,Medium
Don't forget the therapy appointment with Olivia at noon,Reminder,Health,High
Useful study resource for Literature: https://github.com/trending,Note,Study,Low
Solve the practice problems in chapter 10 of Physics,Task,Study,Medium
Subscription cost tracker: Netflix costs $100 per month,Note,Finance,Low
Formula list for History includes modernism equations,Note,Study,Low
Formula list for Physics includes macroeconomics equations,Note,Study,Low
Buy pasta and eggs from the local supermarket,Task,Shopping,Low
Set a reminder for the design sync with Alex on tonight,Reminder,Work,Medium
Savings plan: save $10 by the end of June,Note,Finance,Medium
Schedule a quick alignment call with Michael about cell division,Todo,Work,Medium
Don't forget the tutorial session on thermodynamics at 4:15 PM,Reminder,Study,Medium
Set a reminder for performance review with John on at 9 PM,Reminder,Work,High
Research flight tickets to Boston for vacation,Todo,Personal,Medium
Study Economics for 12 hours today,Todo,Study,Medium
Set a reminder for the design sync with Emma on next Monday,Reminder,Work,Medium
Concept definition: macroeconomics is defined as gradient descent tomorrow morning,Note,Study,Low
Summary of discussion with Emma about cryptography this Friday at 3pm,Note,Work,Low
Gift ideas for Isabella: book about neural networks or a warm scarf,Note,Shopping,Low
Set a reminder for the auto-debit of GitHub on next Monday,Reminder,Finance,Medium
Summarize the lecture notes on ancient civilization for Chemistry,Todo,Study,Medium
Don't forget the group study session for Economics at noon on next week,Reminder,Study,Medium
Don't forget the tutorial session on neural networks at 2:30 PM,Reminder,Study,Medium
Remind me to buy a birthday card for Sarah on this weekend,Reminder,Shopping,Medium
Don't forget the group study session for Chemistry at 4:15 PM on tomorrow,Reminder,Study,Medium
Don't forget the group study session for History at midnight on in 3 days,Reminder,Study,Medium
Compare features of mouse brands,Todo,Shopping,Low
Remember to call Michael about the client contract on this weekend,Reminder,Work,Medium
Create a list of birthday gift ideas for Emily,Todo,Personal,Low
Remind me to cancel the Zoom subscription before next week,Reminder,Finance,High
Set a reminder for the auto-debit of Adobe Creative Cloud on this weekend,Reminder,Finance,Medium
Don't forget the group study session for Math at 4:15 PM on next Monday,Reminder,Study,Medium
Summarize the lecture notes on macroeconomics for Computer Science,Todo,Study,Medium
Read pages 3 to 3 of the Chemistry textbook,Todo,Study,Medium
Remember to call John about the client contract on next Monday,Reminder,Work,Medium
Medical insurance policy number: 20112,Note,Health,Medium
Don't forget the group study session for Economics at 2:30 PM on July 5th,Reminder,Study,Medium
Remind me to sign up for the History workshop by tonight,Reminder,Study,High
Remind me to ask Liam for Calculus study guides,Reminder,Study,Low
Remind me to return the Calculus library book by Friday,Reminder,Study,Medium
Don't forget the therapy appointment with Alex at midnight,Reminder,Health,High
Remind me to check stock prices for NFLX at 10:30 AM,Reminder,Finance,Low
Remind me to buy a birthday card for Sarah on next week,Reminder,Shopping,Medium
Summarize the lecture notes on genetics for Computer Science,Todo,Study,Medium
Summary of discussion with Emily about cell division,Note,Work,Low
Don't forget the therapy appointment with David at 2:30 PM by next week,Reminder,Health,High
Bucket list ideas: visit London and learn to play the ukulele,Note,Personal,Low
Remind me of the finance project status meeting at 2:30 PM,Reminder,Work,Medium
Remind me to buy a birthday card for John on next Monday,Reminder,Shopping,Medium
Expense breakdown: spent $1200 on groceries and $15 on utilities,Note,Finance,Medium
Remind me of the engineering project status meeting at 8:00 PM,Reminder,Work,Medium
Medical insurance policy number: 2350,Note,Health,Medium
Remind me to cancel the Gym Membership subscription before next Monday,Reminder,Finance,High
Don't forget the tutorial session on neural networks at 9:00 AM,Reminder,Study,Medium
Remind me to ask Olivia for Math study guides,Reminder,Study,Low
"Shopping wishlist: smartwatch, speaker, and a new bag",Note,Shopping,Low
Useful study resource for Physics: http://wikipedia.org/wiki/Economics,Note,Study,Low
Formula list for Literature includes industrial revolution equations,Note,Study,Low
Remind me to ask Daniel for Chemistry study guides,Reminder,Study,Low
Medical insurance policy number: 50250 next Monday at noon,Note,Health,Medium
Formula list for Math includes modernism equations,Note,Study,Low
Bucket list ideas: visit Boston and learn to play the guitar tonight at 8 PM,Note,Personal,Low
Schedule a quick alignment call with David about compiler design,Todo,Work,Medium
Don't forget the tutorial session on thermodynamics at 2:30 PM tomorrow morning,Reminder,Study,Medium
Medical insurance policy number: 1032 tomorrow morning,Note,Health,Medium
Remember to call James about the client contract on tonight,Reminder,Work,Medium
Concept definition: macroeconomics is defined as post-modern aesthetics,Note,Study,Low
Remind me to ask Daniel for Economics study guides,Reminder,Study,Low
Bucket list ideas: visit New York and learn to play the saxophone,Note,Personal,Low
Medical insurance policy number: 235 tonight at 8 PM,Note,Health,Medium
Formula list for Art History includes organic synthesis equations,Note,Study,Low
ASAP: Bucket list ideas: visit London and learn to play the drums,Note,Personal,High
Savings plan: save $10 by the end of August,Note,Finance,Medium
Medical insurance policy number: 1054,Note,Health,Medium
Remind me to sign up for the Computer Science workshop by at 9 PM,Reminder,Study,High
Study Literature for 20 hours today,Todo,Study,Medium
Concept definition: modernism is defined as post-modern aesthetics,Note,Study,Low
Remind me to sign up for the Economics workshop by tonight,Reminder,Study,High
Set a reminder for the design sync with Jessica on next week,Reminder,Work,Medium
Schedule a quick alignment call with Liam about photosynthesis,Todo,Work,Medium
Set a reminder to order refills of Amoxicillin by July 5th,Reminder,Health,High
Set a reminder for performance review with Sarah on July 5th,Reminder,Work,High
Don't forget the group study session for Computer Science at 4:15 PM on at 9 PM this Friday at 3pm,Reminder,Study,Medium
Medical insurance policy number: 50125,Note,Health,Medium
Set a reminder to order refills of Lisinopril by in 3 days,Reminder,Health,High
Professor mentioned that macroeconomics will be on the final exam,Note,Study,Medium
Summarize the lecture notes on thermodynamics for Computer Science,Todo,Study,Medium
Solve the practice problems in chapter 1 of Literature,Task,Study,Medium
Remind me to take my Lipitor at 9:00 AM,Reminder,Health,High
Gift ideas for Michael: book about photosynthesis or a warm scarf,Note,Shopping,Low
Set a reminder for the auto-debit of Amazon Prime on Friday,Reminder,Finance,Medium
Order a new charger from online store,Task,Shopping,Medium
Remind me of the sales project status meeting at 4:15 PM,Reminder,Work,Medium
Meeting minutes from engineering sync: will double check the figures this Friday at 3pm,Note,Work,Low
Schedule a quick alignment call with Liam about cell division,Todo,Work,Medium
Remember to prepare for the Calculus exam on tonight,Reminder,Study,High
Remind me to check stock prices for META at 5:00 PM,Reminder,Finance,Low
Subscription cost tracker: Adobe Creative Cloud costs $100 per month,Note,Finance,Low
Read pages 2 to 1 of the Art History textbook,Todo,Study,Medium
Summarize the lecture notes on data structures for Chemistry,Todo,Study,Medium
Remind me to ask Emily for Biology study guides,Reminder,Study,Low
Schedule a quick alignment call with Jessica about compiler design,Todo,Work,Medium
Notes from today's lecture on photosynthesis: discuss at the next standup meeting,Note,Study,Low
Schedule a quick alignment call with Alex about quantum physics,Todo,Work,Medium
Notes from today's lecture on industrial revolution: discuss at the next standup meeting tonight at 8 PM,Note,Study,Low
Remind me to sign up for the Economics workshop by Friday,Reminder,Study,High
Medical insurance policy number: 2123,Note,Health,Medium
Summary of discussion with Daniel about linear algebra,Note,Work,Low
Remind me to buy a birthday card for Isabella on July 5th,Reminder,Shopping,Medium
Medical insurance policy number: 20250,Note,Health,Medium
ASAP: Key takeaways about genetics from the textbook,Note,Study,High
Savings plan: save $10 by the end of March,Note,Finance,Medium
Study Biology for 4 hours today,Todo,Study,Medium
Remind me to buy cereal when near the market,Reminder,Shopping,Low
Medical insurance policy number: 4110,Note,Health,Medium
Remind me of the finance project status meeting at 5:00 PM,Reminder,Work,Medium
Savings plan: save $50 by the end of December,Note,Finance,Medium
Set a reminder for the design sync with Liam on tonight,Reminder,Work,Medium
Call Liam to catch up on weekend plans,Task,Personal,Medium
Set a reminder to order refills of Metformin by tonight,Reminder,Health,High
Read pages 2 to 10 of the History textbook,Todo,Study,Medium
Schedule a quick alignment call with Daniel about cell division,Todo,Work,Medium
Don't forget the tutorial session on thermodynamics at 10:30 AM,Reminder,Study,Medium
Set a reminder for performance review with Daniel on tonight,Reminder,Work,High
Formula list for Economics includes macroeconomics equations,Note,Study,Low
ASAP: Summary of discussion with Emma about organic synthesis tomorrow morning,Note,Work,High
Savings plan: save $15 by the end of August,Note,Finance,Medium
Buy cereal and yogurt from the local supermarket,Task,Shopping,Low
Remind me to ask Emily for Art History study guides,Reminder,Study,Low
Remember to prepare for the Economics exam on June 30th,Reminder,Study,High
Don't forget the group study session for Physics at midnight on at 9 PM next Monday at noon,Reminder,Study,Medium
Set a reminder to order refills of Amoxicillin by Friday,Reminder,Health,High
Remind me to take my Eye drops at noon tomorrow morning,Reminder,Health,High
Bucket list ideas: visit Chicago and learn to play the guitar,Note,Personal,Low
Research quantum physics for the upcoming Physics project,Todo,Study,Medium
Expense breakdown: spent $500 on groceries and $1000 on utilities,Note,Finance,Medium
Medical insurance policy number: 5105,Note,Health,Medium
Concept definition: organic synthesis is defined as memory allocation structures,Note,Study,Low
Notes from today's lecture on thermodynamics: inspired by a recent podcast,Note,Study,Low
Formula list for Math includes photosynthesis equations,Note,Study,Low
Buy avocado and yogurt from the local supermarket,Task,Shopping,Low
Key takeaways about linear algebra from the textbook this Friday at 3pm,Note,Study,Low
Research question idea: how does photosynthesis impact modern science,Note,Study,Low
Remember to call Sophia about the client contract on next week,Reminder,Work,Medium
Remind me of the HR project status meeting at 8:00 PM,Reminder,Work,Medium
Expense breakdown: spent $15 on groceries and $500 on utilities,Note,Finance,Medium
"Shopping wishlist: mouse, smartwatch, and a new bag",Note,Shopping,Low
Summarize the lecture notes on industrial revolution for Calculus,Todo,Study,Medium
Research neural networks for the upcoming Math project,Todo,Study,Medium
Schedule a quick alignment call with Olivia about photosynthesis,Todo,Work,Medium
Solve the practice problems in chapter 1 of Biology,Task,Study,Medium
Notes from today's lecture on compiler design: save for reference in future projects,Note,Study,Low
Solve the practice problems in chapter 3 of Computer Science,Task,Study,Medium
Research data structures for the upcoming Economics project,Todo,Study,Medium
Don't forget the therapy appointment with Sarah at midnight,Reminder,Health,High
Meeting minutes from QA sync: needs review later,Note,Work,Low
Remember to prepare for the Economics exam on Friday,Reminder,Study,High
Summary of discussion with Sophia about cryptography,Note,Work,Low
Schedule a quick alignment call with Sophia about linear algebra,Todo,Work,Medium
Don't forget the group study session for Chemistry at noon on July 5th,Reminder,Study,Medium
Book recommendation list: read books on compiler design,Note,Personal,Low
Set a reminder to order refills of Metformin by at 9 PM,Reminder,Health,High
Expense breakdown: spent $1200 on groceries and $500 on utilities,Note,Finance,Medium
Set a reminder to order refills of Allergy pills by in 3 days,Reminder,Health,High
Remind me to ask David for Math study guides,Reminder,Study,Low
Remind me to call David on their birthday next week,Reminder,Personal,Medium
Set a reminder for performance review with James on tomorrow,Reminder,Work,High
Research cryptography for the upcoming Computer Science project,Todo,Study,Medium
Notes from today's lecture on cell division: save for reference in future projects this Friday at 3pm,Note,Study,Low
Meeting minutes from engineering sync: discuss at the next standup meeting,Note,Work,Low
Summary of discussion with Michael about cryptography,Note,Work,Low
Useful study resource for Art History: https://github.com/trending,Note,Study,Low
Don't forget the tutorial session on photosynthesis at 2:30 PM,Reminder,Study,Medium
